;Substructure;OccurrenceList0;OccurrenceList1;True/False Bonferonni;True/False Benj-Hoch
39;cc(c)O;0,0,1,0;1,0,0,0;False;False
40;cc(c)N;0,0,1,0;0,0,0,0;False;False
41;cccN;0,0,1,0;0,0,0,0;False;False
42;NcccO;0,0,1,0;0,0,0,0;False;False
43;cccc;0,0,1,1;1,1,1,0;False;False
44;ccccO;0,0,1,0;1,0,0,0;False;False
45;ccc(c)O;0,0,1,0;1,0,0,0;False;False
46;cccC(=O)O;0,0,1,0;0,0,0,0;False;False
47;cc(cO)C(=O)O;0,0,1,0;0,0,0,0;False;False
48;cc(O)cC(=O)O;0,0,1,0;0,0,0,0;False;False
49;ccc(c)N;0,0,1,0;0,0,0,0;False;False
50;cc(N)ccO;0,0,1,0;0,0,0,0;False;False
51;ccccN;0,0,1,0;0,0,0,0;False;False
52;cc(O)ccN;0,0,1,0;0,0,0,0;False;False
53;ccccc;0,0,1,1;1,1,1,0;False;False
54;cccccO;0,0,1,0;1,0,0,0;False;False
55;cccc(c)O;0,0,1,0;1,0,0,0;False;False
56;ccccC(=O)O;0,0,1,0;0,0,0,0;False;False
57;ccc(O)cc;0,0,1,0;1,0,0,0;False;False
58;ccc(O)cC(=O)O;0,0,1,0;0,0,0,0;False;False
59;ccc(cO)C(=O)O;0,0,1,0;0,0,0,0;False;False
60;cc(O)c(c)C(=O)O;0,0,1,0;0,0,0,0;False;False
61;cccc(c)N;0,0,1,0;0,0,0,0;False;False
62;ccc(N)ccO;0,0,1,0;0,0,0,0;False;False
63;cc(N)cc(c)O;0,0,1,0;0,0,0,0;False;False
64;NccccC(=O)O;0,0,1,0;0,0,0,0;False;False
65;NcccccO;0,0,1,0;0,0,0,0;False;False
66;ccc(O)ccN;0,0,1,0;0,0,0,0;False;False
67;Nccc(O)cC(=O)O;0,0,1,0;0,0,0,0;False;False
68;cccccC(=O)O;0,0,1,0;0,0,0,0;False;False
69;Oc1ccccc1;0,0,1,0;1,0,0,0;False;False
70;cccc(O)cC(=O)O;0,0,1,0;0,0,0,0;False;False
71;cccc(cO)C(=O)O;0,0,1,0;0,0,0,0;False;False
72;ccc(O)c(c)C(=O)O;0,0,1,0;0,0,0,0;False;False
73;ccc(C(=O)O)c(c)O;0,0,1,0;0,0,0,0;False;False
74;cc(N)cccC(=O)O;0,0,1,0;0,0,0,0;False;False
75;Nc1cccc(O)c1;0,0,1,0;0,0,0,0;False;False
76;cc(N)cc(O)cC(=O)O;0,0,1,0;0,0,0,0;False;False
77;Ncccc(cO)C(=O)O;0,0,1,0;0,0,0,0;False;False
78;cc(C(=O)O)c(O)ccN;0,0,1,0;0,0,0,0;False;False
79;O=C(O)c1ccccc1O;0,0,1,0;0,0,0,0;False;False
80;Nc1ccc(C(=O)O)c(O)c1;0,0,1,0;0,0,0,0;False;False
81;cC;0,0,0,1;1,1,1,0;False;False
82;cCC;0,0,0,1;0,0,0,0;False;False
83;ccC;0,0,0,1;1,1,1,0;False;False
84;cCCC(=O)O;0,0,0,1;0,0,0,0;False;False
85;ccCC;0,0,0,1;0,0,0,0;False;False
86;cc(c)C;0,0,0,1;1,1,1,0;False;False
87;cccC;0,0,0,1;1,1,1,0;False;False
88;ccCCC(=O)O;0,0,0,1;0,0,0,0;False;False
89;cc(c)CC;0,0,0,1;0,0,0,0;False;False
90;cccCC;0,0,0,1;0,0,0,0;False;False
91;ccc(c)C;0,0,0,1;1,1,1,0;False;False
92;ccccC;0,0,0,1;0,1,1,0;False;False
93;cc(c)CCC(=O)O;0,0,0,1;0,0,0,0;False;False
94;cccCCC(=O)O;0,0,0,1;0,0,0,0;False;False
95;ccc(c)CC;0,0,0,1;0,0,0,0;False;False
96;ccccCC;0,0,0,1;0,0,0,0;False;False
97;cccc(c)C;0,0,0,1;0,1,1,0;False;False
98;ccc(C)cc;0,0,0,1;1,1,1,0;False;False
99;cccccC;0,0,0,1;0,1,1,0;False;False
100;c1ccccc1;0,0,0,1;0,1,1,0;False;False
101;ccc(c)CCC(=O)O;0,0,0,1;0,0,0,0;False;False
102;ccccCCC(=O)O;0,0,0,1;0,0,0,0;False;False
103;cccc(c)CC;0,0,0,1;0,0,0,0;False;False
104;ccc(cc)CC;0,0,0,1;0,0,0,0;False;False
105;cccccCC;0,0,0,1;0,0,0,0;False;False
106;Cc1ccccc1;0,0,0,1;0,1,1,0;False;False
107;cccc(c)CCC(=O)O;0,0,0,1;0,0,0,0;False;False
108;ccc(cc)CCC(=O)O;0,0,0,1;0,0,0,0;False;False
109;cccccCCC(=O)O;0,0,0,1;0,0,0,0;False;False
110;CCc1ccccc1;0,0,0,1;0,0,0,0;False;False
111;O=C(O)CCc1ccccc1;0,0,0,1;0,0,0,0;False;False
112;S;0,0,0,0;1,1,1,1;True;True
113;C=O;0,0,0,0;1,1,1,1;True;True
114;CS;0,0,0,0;1,1,1,1;True;True
115;CN;0,0,0,0;1,1,1,1;True;True
116;CC=O;0,0,0,0;1,1,1,1;True;True
117;NC=O;0,0,0,0;1,1,1,1;True;True
118;CCC;0,0,0,0;1,1,1,1;True;True
119;CCS;0,0,0,0;1,1,1,0;False;False
120;CSC;0,0,0,0;1,1,1,0;False;False
121;CCN;0,0,0,0;1,1,1,1;True;True
122;NCS;0,0,0,0;1,1,1,0;False;False
123;CCC=O;0,0,0,0;1,1,1,1;True;True
124;CNC=O;0,0,0,0;1,1,1,1;True;True
125;CNC;0,0,0,0;1,1,1,1;True;True
126;NCC=O;0,0,0,0;1,1,1,1;True;True
127;CC(N)=O;0,0,0,0;1,1,1,1;True;True
128;cCC=O;0,0,0,0;1,1,1,0;False;False
129;cCN;0,0,0,0;1,1,0,0;False;False
130;NCC(=O)O;0,0,0,0;1,1,1,0;False;False
131;CC(C)S;0,0,0,0;1,0,1,0;False;False
132;CC(C)C;0,0,0,0;1,0,1,1;False;False
133;CCSC;0,0,0,0;1,1,1,0;False;False
134;CCCN;0,0,0,0;1,0,1,1;False;False
135;CCCC(=O)O;0,0,0,0;1,0,1,0;False;False
136;NCCS;0,0,0,0;1,1,1,0;False;False
137;O=C(O)CCS;0,0,0,0;1,0,1,0;False;False
138;CSCN;0,0,0,0;1,1,1,0;False;False
139;CCNC=O;0,0,0,0;1,1,1,1;True;True
140;CCNC;0,0,0,0;1,0,1,1;False;False
141;CC(N)C(=O)O;0,0,0,0;1,0,1,0;False;False
142;CC(N)S;0,0,0,0;1,1,1,0;False;False
143;O=CCCS;0,0,0,0;1,1,1,0;False;False
144;O=CNCS;0,0,0,0;1,1,1,0;False;False
145;CNCS;0,0,0,0;1,1,1,0;False;False
146;NCCN;0,0,0,0;1,1,1,0;False;False
147;O=C1CCN1;0,0,0,0;1,1,1,0;False;False
148;CC(N)C=O;0,0,0,0;1,1,1,1;True;True
149;CN(C)C=O;0,0,0,0;1,1,1,0;False;False
150;CNCC(=O)O;0,0,0,0;1,1,1,0;False;False
151;O=CCNC=O;0,0,0,0;1,1,1,0;False;False
152;NCC(N)=O;0,0,0,0;1,1,1,1;True;True
153;CNC(C)=O;0,0,0,0;1,1,1,1;True;True
154;cCC(N)=O;0,0,0,0;1,1,1,0;False;False
155;cC(N)C=O;0,0,0,0;1,1,0,0;False;False
156;ccCC=O;0,0,0,0;1,1,1,0;False;False
157;ccCN;0,0,0,0;1,1,0,0;False;False
158;O=CNCC(=O)O;0,0,0,0;1,1,1,0;False;False
159;CC(C)(C)S;0,0,0,0;1,0,1,0;False;False
160;CSC(C)C;0,0,0,0;1,0,1,0;False;False
161;CC(C)CN;0,0,0,0;1,0,1,1;False;False
162;CC(C)CC(=O)O;0,0,0,0;1,0,1,0;False;False
163;CC(S)CN;0,0,0,0;1,0,1,0;False;False
164;CC(S)CC(=O)O;0,0,0,0;1,0,1,0;False;False
165;CCSCC;0,0,0,0;1,1,1,0;False;False
166;CCSCN;0,0,0,0;1,1,1,0;False;False
167;CCCNC=O;0,0,0,0;1,0,1,1;False;False
168;CCCNC;0,0,0,0;1,0,1,1;False;False
169;CCC(N)C(=O)O;0,0,0,0;1,0,1,0;False;False
170;C1CSCN1;0,0,0,0;1,0,1,0;False;False
171;CSCCC(=O)O;0,0,0,0;1,0,1,0;False;False
172;O=CNCCS;0,0,0,0;1,1,1,0;False;False
173;NC(CS)C(=O)O;0,0,0,0;1,0,1,0;False;False
174;CSC(C)N;0,0,0,0;1,1,1,0;False;False
175;CSCCN;0,0,0,0;1,1,1,0;False;False
176;CSCCC=O;0,0,0,0;1,1,1,0;False;False
177;CSCNC=O;0,0,0,0;1,1,1,0;False;False
178;CCNC(C)=O;0,0,0,0;1,1,1,1;True;True
179;CCN(C)C=O;0,0,0,0;1,0,1,0;False;False
180;CC(NC=O)C(=O)O;0,0,0,0;1,0,1,0;False;False
181;CCNCC;0,0,0,0;1,0,1,0;False;False
182;CNC(C)C(=O)O;0,0,0,0;1,0,1,0;False;False
183;NCC(N)S;0,0,0,0;1,1,1,0;False;False
184;O=C1CC(S)N1;0,0,0,0;1,1,1,0;False;False
185;CNC(C)S;0,0,0,0;1,1,1,0;False;False
186;NC(C=O)CS;0,0,0,0;1,1,1,0;False;False
187;CN(C=O)CS;0,0,0,0;1,1,1,0;False;False
188;O=C(O)CNCS;0,0,0,0;1,1,1,0;False;False
189;NC1CNC1=O;0,0,0,0;1,1,1,0;False;False
190;NCCNC=O;0,0,0,0;1,1,1,0;False;False
191;CNCCN;0,0,0,0;1,1,1,0;False;False
192;CN1CCC1=O;0,0,0,0;1,1,1,0;False;False
193;CCNCC(=O)O;0,0,0,0;1,1,1,0;False;False
194;CC(C=O)NC=O;0,0,0,0;1,1,1,0;False;False
195;CN(C=O)CC(=O)O;0,0,0,0;1,0,1,0;False;False
196;CC(=O)NCC=O;0,0,0,0;1,1,1,0;False;False
197;NC(=O)CNC=O;0,0,0,0;1,1,1,0;False;False
198;CNC(=O)CN;0,0,0,0;1,1,1,1;True;True
199;cCC(=O)NC;0,0,0,0;1,1,1,0;False;False
200;CC(=O)NCC(=O)O;0,0,0,0;1,1,1,0;False;False
201;cC(N)C(N)=O;0,0,0,0;1,1,0,0;False;False
202;ccCC(N)=O;0,0,0,0;1,1,1,0;False;False
203;ccC(N)C=O;0,0,0,0;1,1,0,0;False;False
204;cc(c)CC=O;0,0,0,0;1,1,1,0;False;False
205;cccCC=O;0,0,0,0;1,1,1,0;False;False
206;cc(c)CN;0,0,0,0;1,1,0,0;False;False
207;cccCN;0,0,0,0;1,1,0,0;False;False
208;CccccO;0,0,0,0;1,0,0,0;False;False
209;CSC(C)(C)C;0,0,0,0;1,0,1,0;False;False
210;CC(C)(S)CN;0,0,0,0;1,0,1,0;False;False
211;CC(C)(S)CC(=O)O;0,0,0,0;1,0,1,0;False;False
212;CCSC(C)C;0,0,0,0;1,0,1,0;False;False
213;CC(C)SCN;0,0,0,0;1,0,1,0;False;False
214;CC(C)CNC=O;0,0,0,0;1,0,1,0;False;False
215;CNCC(C)C;0,0,0,0;1,0,1,1;False;False
216;CC(C)C(N)C(=O)O;0,0,0,0;1,0,1,0;False;False
217;CC1CNCS1;0,0,0,0;1,0,1,0;False;False
218;CSC(C)CC(=O)O;0,0,0,0;1,0,1,0;False;False
219;CC(S)CNC=O;0,0,0,0;1,0,1,0;False;False
220;CC(S)C(N)C(=O)O;0,0,0,0;1,0,1,0;False;False
221;CCSC(C)N;0,0,0,0;1,1,1,0;False;False
222;CCSCCN;0,0,0,0;1,1,1,0;False;False
223;CCSCCC=O;0,0,0,0;1,1,1,0;False;False
224;CCSCNC=O;0,0,0,0;1,1,1,0;False;False
225;CCCNC(C)=O;0,0,0,0;1,0,1,1;False;False
226;CCCN(C)C=O;0,0,0,0;1,0,1,0;False;False
227;CCC(NC=O)C(=O)O;0,0,0,0;1,0,1,0;False;False
228;CCCNCC;0,0,0,0;1,0,1,0;False;False
229;CCC(NC)C(=O)O;0,0,0,0;1,0,1,0;False;False
230;CC1NCCS1;0,0,0,0;1,0,1,0;False;False
231;CCSCCC(=O)O;0,0,0,0;1,0,1,0;False;False
232;O=CN1CCSC1;0,0,0,0;1,0,1,0;False;False
233;O=C(O)C1CSCN1;0,0,0,0;1,0,1,0;False;False
234;CC(=O)NCCS;0,0,0,0;1,1,1,0;False;False
235;O=CNC(CS)C(=O)O;0,0,0,0;1,0,1,0;False;False
236;CSC(N)CN;0,0,0,0;1,1,1,0;False;False
237;CSC1CC(=O)N1;0,0,0,0;1,1,1,0;False;False
238;CSCC(N)C=O;0,0,0,0;1,1,1,0;False;False
239;CSCCNC=O;0,0,0,0;1,1,1,0;False;False
240;CCN1CCC1=O;0,0,0,0;1,0,1,0;False;False
241;CCNC(=O)CN;0,0,0,0;1,1,1,1;True;True
242;CC(=O)NC(C)C(=O)O;0,0,0,0;1,0,1,0;False;False
243;CC(C(=O)O)N(C)C=O;0,0,0,0;1,0,1,0;False;False
244;CCNCCN;0,0,0,0;1,0,1,0;False;False
245;CCNC(C)C(=O)O;0,0,0,0;1,0,1,0;False;False
246;NC1C(=O)NC1S;0,0,0,0;1,1,1,0;False;False
247;NC(S)CNC=O;0,0,0,0;1,1,1,0;False;False
248;CNC(S)CN;0,0,0,0;1,1,1,0;False;False
249;CN1C(=O)CC1S;0,0,0,0;1,1,1,0;False;False
250;CC(S)NCC(=O)O;0,0,0,0;1,1,1,0;False;False
251;O=CNC(C=O)CS;0,0,0,0;1,1,1,0;False;False
252;O=CN(CS)CC(=O)O;0,0,0,0;1,0,1,0;False;False
253;O=CNC1CNC1=O;0,0,0,0;1,1,1,0;False;False
254;CN1CC(N)C1=O;0,0,0,0;1,1,1,0;False;False
255;CC(=O)NCCN;0,0,0,0;1,1,1,0;False;False
256;CNCCNC=O;0,0,0,0;1,1,1,0;False;False
257;NCCNCC(=O)O;0,0,0,0;1,1,1,0;False;False
258;O=C(O)CN1CCC1=O;0,0,0,0;1,1,1,0;False;False
259;CC(=O)NC(C)C=O;0,0,0,0;1,1,1,0;False;False
260;cCC(=O)NCC;0,0,0,0;1,1,1,0;False;False
261;NCC(=O)NCC=O;0,0,0,0;1,1,0,0;False;False
262;cCC(=O)NCC=O;0,0,0,0;1,1,1,0;False;False
263;CC(=O)NCC(N)=O;0,0,0,0;1,1,1,0;False;False
264;CNC(=O)CNC=O;0,0,0,0;1,1,1,0;False;False
265;NCC(=O)NCC(=O)O;0,0,0,0;1,1,1,0;False;False
266;cC(N)C(=O)NC;0,0,0,0;1,1,0,0;False;False
267;ccCC(=O)NC;0,0,0,0;1,1,1,0;False;False
268;ccC(N)C(N)=O;0,0,0,0;1,1,0,0;False;False
269;cc(c)CC(N)=O;0,0,0,0;1,1,1,0;False;False
270;cccCC(N)=O;0,0,0,0;1,1,1,0;False;False
271;cc(c)C(N)C=O;0,0,0,0;1,1,0,0;False;False
272;cccC(N)C=O;0,0,0,0;1,1,0,0;False;False
273;ccc(c)CC=O;0,0,0,0;1,1,1,0;False;False
274;O=CCccccO;0,0,0,0;1,0,0,0;False;False
275;ccc(c)CN;0,0,0,0;1,1,0,0;False;False
276;NCccccO;0,0,0,0;1,0,0,0;False;False
277;cc(C)cccO;0,0,0,0;1,0,0,0;False;False
278;cc(O)cccC;0,0,0,0;1,0,0,0;False;False
279;CCSC(C)(C)C;0,0,0,0;1,0,1,0;False;False
280;CC1(C)CNCS1;0,0,0,0;1,0,1,0;False;False
281;CSC(C)(C)CC(=O)O;0,0,0,0;1,0,1,0;False;False
282;CC(C)(S)CNC=O;0,0,0,0;1,0,1,0;False;False
283;CC(C)(S)C(N)C(=O)O;0,0,0,0;1,0,1,0;False;False
284;CC(C)SC(C)N;0,0,0,0;1,0,1,0;False;False
285;CC(C)SCCN;0,0,0,0;1,0,1,0;False;False
286;CC(C)SCCC=O;0,0,0,0;1,0,1,0;False;False
287;CC(C)SCNC=O;0,0,0,0;1,0,1,0;False;False
288;CC(=O)NCC(C)C;0,0,0,0;1,0,1,0;False;False
289;CC(C)CN(C)C=O;0,0,0,0;1,0,1,0;False;False
290;CC(C)C(NC=O)C(=O)O;0,0,0,0;1,0,1,0;False;False
291;CCNCC(C)C;0,0,0,0;1,0,1,0;False;False
292;CNC(C(=O)O)C(C)C;0,0,0,0;1,0,1,0;False;False
293;CC1CNC(C)S1;0,0,0,0;1,0,1,0;False;False
294;CCSC(C)CC(=O)O;0,0,0,0;1,0,1,0;False;False
295;CC1CN(C=O)CS1;0,0,0,0;1,0,1,0;False;False
296;CC1SCNC1C(=O)O;0,0,0,0;1,0,1,0;False;False
297;CC(=O)NCC(C)S;0,0,0,0;1,0,1,0;False;False
298;CC(S)C(NC=O)C(=O)O;0,0,0,0;1,0,1,0;False;False
299;CCSC(N)CN;0,0,0,0;1,1,1,0;False;False
300;CCSC1CC(=O)N1;0,0,0,0;1,1,1,0;False;False
301;CCSCC(N)C=O;0,0,0,0;1,1,1,0;False;False
302;CCSCCNC=O;0,0,0,0;1,1,1,0;False;False
303;CCCN1CCC1=O;0,0,0,0;1,0,1,0;False;False
304;CCCNC(=O)CN;0,0,0,0;1,0,1,1;False;False
305;CCC(NC(C)=O)C(=O)O;0,0,0,0;1,0,1,0;False;False
306;CCC(C(=O)O)N(C)C=O;0,0,0,0;1,0,1,0;False;False
307;CCCNCCN;0,0,0,0;1,0,1,0;False;False
308;CCNC(CC)C(=O)O;0,0,0,0;1,0,1,0;False;False
309;NCC1NCCS1;0,0,0,0;1,0,1,0;False;False
310;O=C1CC2SCCN12;0,0,0,0;1,0,1,0;False;False
311;CC1NC(C(=O)O)CS1;0,0,0,0;1,0,1,0;False;False
312;NCCSCCC(=O)O;0,0,0,0;1,0,1,0;False;False
313;O=CCCSCCC(=O)O;0,0,0,0;1,0,1,0;False;False
314;O=CN1CSCC1C(=O)O;0,0,0,0;1,0,1,0;False;False
315;NCC(=O)NCCS;0,0,0,0;1,1,1,0;False;False
316;CC(=O)NC(CS)C(=O)O;0,0,0,0;1,0,1,0;False;False
317;CSC1NC(=O)C1N;0,0,0,0;1,1,1,0;False;False
318;CSC(N)CNC=O;0,0,0,0;1,1,1,0;False;False
319;CSCC(C=O)NC=O;0,0,0,0;1,1,1,0;False;False
320;CSCCNC(C)=O;0,0,0,0;1,1,1,0;False;False
321;CCN1CC(N)C1=O;0,0,0,0;1,0,1,0;False;False
322;CC(C(=O)O)N1CCC1=O;0,0,0,0;1,0,1,0;False;False
323;CCNC(=O)CNC=O;0,0,0,0;1,0,1,0;False;False
324;CC(NC(=O)CN)C(=O)O;0,0,0,0;1,0,1,0;False;False
325;CCNCCNC=O;0,0,0,0;1,0,1,0;False;False
326;CC(NCCN)C(=O)O;0,0,0,0;1,0,1,0;False;False
327;O=CNC1C(=O)NC1S;0,0,0,0;1,1,1,0;False;False
328;CN1C(=O)C(N)C1S;0,0,0,0;1,1,1,0;False;False
329;CC(=O)NCC(N)S;0,0,0,0;1,1,1,0;False;False
330;CNC(S)CNC=O;0,0,0,0;1,1,1,0;False;False
331;NCC(S)NCC(=O)O;0,0,0,0;1,1,1,0;False;False
332;O=C(O)CN1C(=O)CC1S;0,0,0,0;1,1,1,0;False;False
333;CC(=O)NC(C=O)CS;0,0,0,0;1,1,1,0;False;False
334;cCC(=O)NCCS;0,0,0,0;1,1,1,0;False;False
335;CC(=O)NC1CNC1=O;0,0,0,0;1,1,1,0;False;False
336;CN1CC(NC=O)C1=O;0,0,0,0;1,1,1,0;False;False
337;NC1CN(CC(=O)O)C1=O;0,0,0,0;1,1,1,0;False;False
338;NCCNC(=O)CN;0,0,0,0;1,1,0,0;False;False
339;cCC(=O)NCCN;0,0,0,0;1,1,1,0;False;False
340;CNCCNC(C)=O;0,0,0,0;1,1,1,0;False;False
341;O=CNCCNCC(=O)O;0,0,0,0;1,1,1,0;False;False
342;CC(C=O)NC(=O)CN;0,0,0,0;1,1,0,0;False;False
343;cCC(=O)NC(C)C=O;0,0,0,0;1,1,1,0;False;False
344;cC(N)C(=O)NCC;0,0,0,0;1,1,0,0;False;False
345;ccCC(=O)NCC;0,0,0,0;1,1,1,0;False;False
346;cC(N)C(=O)NCC=O;0,0,0,0;1,1,0,0;False;False
347;NCC(=O)NCC(N)=O;0,0,0,0;1,1,0,0;False;False
348;ccCC(=O)NCC=O;0,0,0,0;1,1,1,0;False;False
349;cCC(=O)NCC(N)=O;0,0,0,0;1,1,1,0;False;False
350;CNC(=O)CNC(C)=O;0,0,0,0;1,1,1,0;False;False
351;O=CNCC(=O)NCC(=O)O;0,0,0,0;1,1,1,0;False;False
352;ccC(N)C(=O)NC;0,0,0,0;1,1,0,0;False;False
353;cc(c)CC(=O)NC;0,0,0,0;1,1,1,0;False;False
354;cccCC(=O)NC;0,0,0,0;1,1,1,0;False;False
355;cc(c)C(N)C(N)=O;0,0,0,0;1,1,0,0;False;False
356;cccC(N)C(N)=O;0,0,0,0;1,1,0,0;False;False
357;ccc(c)CC(N)=O;0,0,0,0;1,1,1,0;False;False
358;NC(=O)CccccO;0,0,0,0;1,0,0,0;False;False
359;ccc(c)C(N)C=O;0,0,0,0;1,1,0,0;False;False
360;NC(C=O)ccccO;0,0,0,0;1,0,0,0;False;False
361;cc(cccO)CC=O;0,0,0,0;1,0,0,0;False;False
362;ccc(cc)CC=O;0,0,0,0;1,1,1,0;False;False
363;cc(O)cccCC=O;0,0,0,0;1,0,0,0;False;False
364;cc(cccO)CN;0,0,0,0;1,0,0,0;False;False
365;ccc(cc)CN;0,0,0,0;1,1,0,0;False;False
366;cc(O)cccCN;0,0,0,0;1,0,0,0;False;False
367;Cc1ccc(O)cc1;0,0,0,0;1,0,0,0;False;False
368;CC1NCC(C)(C)S1;0,0,0,0;1,0,1,0;False;False
369;CC(C)(C)SCCN;0,0,0,0;1,0,1,0;False;False
370;CC(C)(C)SCCC=O;0,0,0,0;1,0,1,0;False;False
371;CCSC(C)(C)CC(=O)O;0,0,0,0;1,0,1,0;False;False
372;CC1(C)CN(C=O)CS1;0,0,0,0;1,0,1,0;False;False
373;CC1(C)SCNC1C(=O)O;0,0,0,0;1,0,1,0;False;False
374;CC(=O)NCC(C)(C)S;0,0,0,0;1,0,1,0;False;False
375;CC(C)(S)C(NC=O)C(=O)O;0,0,0,0;1,0,1,0;False;False
376;CC(C)SC(N)CN;0,0,0,0;1,0,1,0;False;False
377;CC(C)SC1CC(=O)N1;0,0,0,0;1,0,1,0;False;False
378;CC(C)SCC(N)C=O;0,0,0,0;1,0,1,0;False;False
379;CC(C)SCCNC=O;0,0,0,0;1,0,1,0;False;False
380;CC(C)CN1CCC1=O;0,0,0,0;1,0,1,0;False;False
381;CC(C)CNC(=O)CN;0,0,0,0;1,0,1,0;False;False
382;CC(=O)NC(C(=O)O)C(C)C;0,0,0,0;1,0,1,0;False;False
383;CC(C)C(C(=O)O)N(C)C=O;0,0,0,0;1,0,1,0;False;False
384;CC(C)CNCCN;0,0,0,0;1,0,1,0;False;False
385;CCNC(C(=O)O)C(C)C;0,0,0,0;1,0,1,0;False;False
386;CC1CNC(CN)S1;0,0,0,0;1,0,1,0;False;False
387;CC1CN2C(=O)CC2S1;0,0,0,0;1,0,1,0;False;False
388;CC1NC(C(=O)O)C(C)S1;0,0,0,0;1,0,1,0;False;False
389;CC(CC(=O)O)SCCN;0,0,0,0;1,0,1,0;False;False
390;CC(CC(=O)O)SCCC=O;0,0,0,0;1,0,1,0;False;False
391;CC1SCN(C=O)C1C(=O)O;0,0,0,0;1,0,1,0;False;False
392;CC(S)CNC(=O)CN;0,0,0,0;1,0,1,0;False;False
393;CC(=O)NC(C(=O)O)C(C)S;0,0,0,0;1,0,1,0;False;False
394;CCSC1NC(=O)C1N;0,0,0,0;1,1,1,0;False;False
395;CCSC(N)CNC=O;0,0,0,0;1,1,1,0;False;False
396;CCSCC(C=O)NC=O;0,0,0,0;1,1,1,0;False;False
397;CCSCCNC(C)=O;0,0,0,0;1,1,1,0;False;False
398;CCCN1CC(N)C1=O;0,0,0,0;1,0,1,0;False;False
399;CCC(C(=O)O)N1CCC1=O;0,0,0,0;1,0,1,0;False;False
400;CCCNC(=O)CNC=O;0,0,0,0;1,0,1,0;False;False
401;CCC(NC(=O)CN)C(=O)O;0,0,0,0;1,0,1,0;False;False
402;CCCNCCNC=O;0,0,0,0;1,0,1,0;False;False
403;CCC(NCCN)C(=O)O;0,0,0,0;1,0,1,0;False;False
404;NC1C(=O)N2CCSC12;0,0,0,0;1,0,1,0;False;False
405;O=CNCC1NCCS1;0,0,0,0;1,0,1,0;False;False
406;NCC1NC(C(=O)O)CS1;0,0,0,0;1,0,1,0;False;False
407;O=C(O)C1CSC2CC(=O)N21;0,0,0,0;1,0,1,0;False;False
408;NC(C=O)CSCCC(=O)O;0,0,0,0;1,0,1,0;False;False
409;O=CNCCSCCC(=O)O;0,0,0,0;1,0,1,0;False;False
410;O=CNCC(=O)NCCS;0,0,0,0;1,0,1,0;False;False
411;NCC(=O)NC(CS)C(=O)O;0,0,0,0;1,0,1,0;False;False
412;CSC1NC(=O)C1NC=O;0,0,0,0;1,1,1,0;False;False
413;CSC(N)CNC(C)=O;0,0,0,0;1,1,1,0;False;False
414;CSCC(C=O)NC(C)=O;0,0,0,0;1,1,1,0;False;False
415;CSCCNC(=O)CN;0,0,0,0;1,1,0,0;False;False
416;cCC(=O)NCCSC;0,0,0,0;1,1,1,0;False;False
417;CCN1CC(NC=O)C1=O;0,0,0,0;1,0,1,0;False;False
